"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NABARD","N2","26-Dec-2018","       1144.90","       1144.50","       1149.90","       1144.50","       1149.90","       1149.50","       1149.50","        341","              391980.90","          2","        341","        100.00"
"NABARD","N2","28-Dec-2018","       1149.50","       1146.01","       1150.01","       1146.01","       1150.00","       1150.00","       1147.25","        515","              590834.00","         13","        360","         69.90"
"NABARD","N2","02-Jan-2019","       1150.00","       1150.00","       1154.99","       1150.00","       1151.55","       1151.54","       1151.36","       3685","             4242771.75","         59","       3260","         88.47"
"NABARD","N2","03-Jan-2019","       1151.54","       1151.00","       1153.99","       1151.00","       1151.40","       1151.50","       1152.48","       7516","             8662041.25","         25","       7415","         98.66"
"NABARD","N2","04-Jan-2019","       1151.50","       1151.51","       1153.25","       1151.50","       1152.01","       1152.01","       1151.90","       3508","             4040869.18","         23","       2983","         85.03"
"NABARD","N2","07-Jan-2019","       1152.01","       1151.10","       1154.00","       1151.10","       1153.00","       1153.00","       1153.12","       3690","             4255025.40","         21","       3300","         89.43"
"NABARD","N2","08-Jan-2019","       1153.00","       1154.00","       1154.00","       1151.60","       1151.80","       1152.29","       1152.41","       4611","             5313751.66","         21","       4510","         97.81"
"NABARD","N2","09-Jan-2019","       1152.29","       1152.00","       1154.00","       1152.00","       1152.00","       1152.78","       1152.83","       4061","             4681641.17","         45","       3260","         80.28"
"NABARD","N2","10-Jan-2019","       1152.78","       1151.11","       1152.50","       1150.00","       1152.50","       1151.23","       1151.16","       6006","             6913871.74","         58","       4334","         72.16"
"NABARD","N2","11-Jan-2019","       1151.23","       1151.00","       1153.00","       1149.00","       1153.00","       1152.02","       1150.88","       3293","             3789852.36","         46","       3098","         94.08"
"NABARD","N2","14-Jan-2019","       1152.02","       1150.02","       1158.49","       1149.00","       1158.49","       1157.14","       1152.87","       8277","             9542344.76","        105","       5860","         70.80"
"NABARD","N1","15-Jan-2019","       1130.00","       1140.00","       1140.00","       1140.00","       1140.00","       1140.00","       1140.00","         50","               57000.00","          1","         50","        100.00"
"NABARD","N2","15-Jan-2019","       1157.14","       1155.00","       1157.00","       1153.50","       1154.00","       1155.18","       1154.19","       5020","             5794042.50","         18","       4250","         84.66"
"NABARD","N2","16-Jan-2019","       1155.18","       1155.00","       1157.00","       1155.00","       1157.00","       1156.99","       1155.13","       6104","             7050922.50","         23","       6104","        100.00"
"NABARD","N2","17-Jan-2019","       1156.99","       1155.00","       1155.00","       1154.00","       1154.00","       1154.00","       1154.70","       7764","             8965105.00","         14","       7764","        100.00"
"NABARD","N2","18-Jan-2019","       1154.00","       1155.00","       1155.00","       1154.00","       1155.00","       1155.00","       1154.94","      15906","            18370433.82","         30","      15275","         96.03"
"NABARD","N2","21-Jan-2019","       1155.00","       1155.15","       1156.50","       1155.00","       1156.50","       1155.13","       1155.15","       3231","             3732283.15","         30","       2681","         82.98"
"NABARD","N2","22-Jan-2019","       1155.13","       1154.00","       1158.00","       1154.00","       1158.00","       1156.86","       1155.62","        500","              577807.50","          8","        300","         60.00"
"NABARD","N2","23-Jan-2019","       1156.86","       1160.00","       1160.00","       1157.95","       1160.00","       1160.00","       1159.26","        575","              666572.30","         11","        435","         75.65"
"NABARD","N2","24-Jan-2019","       1160.00","       1155.50","       1155.50","       1155.00","       1155.50","       1155.50","       1155.48","       3720","             4298397.50","         20","       3050","         81.99"
"NABARD","N2","25-Jan-2019","       1155.50","       1157.00","       1157.00","       1156.94","       1157.00","       1157.00","       1156.96","       2684","             3105293.80","         13","       2284","         85.10"
"NABARD","N2","29-Jan-2019","       1157.00","       1169.98","       1169.98","       1169.98","       1169.98","       1169.98","       1169.98","         75","               87748.50","          1","         75","        100.00"
"NABARD","N2","01-Feb-2019","       1169.98","       1155.10","       1155.10","       1155.10","       1155.10","       1155.10","       1155.10","        200","              231020.00","         11","        200","        100.00"
"NABARD","N2","04-Feb-2019","       1155.10","       1155.10","       1164.00","       1155.05","       1160.00","       1160.00","       1157.42","       1750","             2025485.00","         45","       1150","         65.71"
"NABARD","N2","05-Feb-2019","       1160.00","       1160.00","       1160.00","       1159.80","       1160.00","       1160.00","       1159.89","       1800","             2087800.00","          8","       1800","        100.00"
"NABARD","N2","06-Feb-2019","       1160.00","       1160.00","       1163.00","       1160.00","       1163.00","       1163.00","       1160.04","       9273","            10757010.00","         16","       9273","        100.00"
"NABARD","N2","08-Feb-2019","       1163.00","       1160.51","       1163.10","       1160.50","       1163.10","       1163.10","       1161.48","        400","              464590.57","          5","        400","        100.00"
"NABARD","N2","11-Feb-2019","       1163.10","       1163.10","       1163.10","       1163.10","       1163.10","       1163.10","       1163.10","         50","               58155.00","          1","         50","        100.00"
"NABARD","N1","12-Feb-2019","       1140.00","       1140.00","       1140.00","       1140.00","       1140.00","       1140.00","       1140.00","        100","              114000.00","          1","        100","        100.00"
"NABARD","N2","14-Feb-2019","       1163.10","       1168.00","       1168.00","       1160.00","       1163.00","       1163.00","       1162.53","       5399","             6276519.30","         27","       5283","         97.85"
"NABARD","N1","15-Feb-2019","       1140.00","       1147.00","       1147.00","       1147.00","       1147.00","       1147.00","       1147.00","         50","               57350.00","          1","         50","        100.00"
"NABARD","N2","15-Feb-2019","       1163.00","       1163.16","       1178.00","       1163.00","       1175.00","       1175.00","       1167.01","        916","             1068977.95","         14","        670","         73.14"
"NABARD","N2","18-Feb-2019","       1175.00","       1164.00","       1165.00","       1164.00","       1165.00","       1165.00","       1164.17","        240","              279400.00","          5","        240","        100.00"
"NABARD","N2","20-Feb-2019","       1165.00","       1161.00","       1167.00","       1161.00","       1165.95","       1166.36","       1163.76","       2684","             3123518.45","         37","       1334","         49.70"
